['INFO ]2023-07-27 14:30:16,659(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- get request with endpoint------------------
['INFO ]2023-07-27 14:30:16,660(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)------------- grades by submission by batchid-----------
['INFO ]2023-07-27 14:30:16,883(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------status code verified---------------
['INFO ]2023-07-27 14:30:16,884(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------content type checked----------
['INFO ]2023-07-27 14:30:16,884(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------Transfer-Encoding checked----------
['INFO ]2023-07-27 14:30:16,900(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- put request with endpoint------------------
['INFO ]2023-07-27 14:30:16,958(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Put request resubmit assignment*************
['INFO ]2023-07-27 14:30:17,228(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Put request resubmit assignment updated *************
['INFO ]2023-07-27 14:30:17,245(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- delete request with endpoint------------------
['INFO ]2023-07-27 14:30:17,246(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Deleting Assignment Submission *************
['INFO ]2023-07-27 14:30:17,474(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------status code verified---------------
['INFO ]2023-07-27 14:30:17,474(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------content type checked----------
['INFO ]2023-07-27 14:30:17,474(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------Transfer-Encoding checked----------
['INFO ]2023-07-27 14:30:17,489(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-Assignment DELETE request with endpoint
['INFO ]2023-07-27 14:30:17,490(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Deleting Assignment *************
['INFO ]2023-07-27 14:30:17,725(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@3b0d9da
['INFO ]2023-07-27 14:30:17,726(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Deletion Successful *************
['INFO ]2023-07-27 14:30:17,980(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Deleting Batch *************
['INFO ]2023-07-27 14:30:18,199(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@7a0eb939
['INFO ]2023-07-27 14:30:18,201(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Deletion Successful *************
['INFO ]2023-07-27 14:30:18,215(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-************DELETE program byId***************
['INFO ]2023-07-27 14:30:18,439(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@5ff12345
['INFO ]2023-07-27 14:30:18,455(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-************DELETE program BY NAME ***************
['INFO ]2023-07-27 14:30:20,999(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Creating Batch **************************
['INFO ]2023-07-27 14:30:21,301(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Batch is Created ***********************
['INFO ]2023-07-27 14:30:21,301(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-{"batchId":9789,"batchName":"-857474899","batchDescription":"cucumber","batchStatus":"Active","batchNoOfClasses":10,"programId":17055,"programName":"123"}
['INFO ]2023-07-27 14:30:21,321(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Retriving Batch *************
['INFO ]2023-07-27 14:30:21,540(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@6d7005e2
['INFO ]2023-07-27 14:30:21,542(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)------status is verified------
['INFO ]2023-07-27 14:30:21,555(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Retrieving Batch *************
['INFO ]2023-07-27 14:30:21,765(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@7d619bcb
['INFO ]2023-07-27 14:30:21,768(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)------status is verified------
['INFO ]2023-07-27 14:30:22,244(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Batch details are Displayed *************
['INFO ]2023-07-27 14:30:22,245(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)------status is verified------
['INFO ]2023-07-27 14:30:22,282(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Updating Batch*************
['INFO ]2023-07-27 14:30:22,506(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Batch details Updated ****************
['INFO ]2023-07-27 14:30:22,507(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Retriving Batch Details after Update *************
['INFO ]2023-07-27 14:30:22,738(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@384b718c
['INFO ]2023-07-27 14:30:22,751(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Deleting Batch *************
['INFO ]2023-07-27 14:30:23,003(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@16c3388e
